TG Num,Frequency,Alpha Tag,Description,Category,Tag
0,506737500,LAPD Central,Central Division Dispatch,LAPD,Dispatch
0,506937500,LAPD Rampart,Rampart Division Dispatch,LAPD,Dispatch
0,506987500,LAPD Southwest,Southwest Division Dispatch,LAPD,Dispatch
0,507187500,LAPD Hollenbeck,Hollenbeck Division Dispatch,LAPD,Dispatch
0,507087500,LAPD CW Tac 1,Citywide Tactical 1,LAPD,Tactical
0,507125000,LAPD CW Tac 2,Citywide Tactical 2,LAPD,Tactical
0,507162500,LAPD CW Tac 3,Citywide Tactical 3,LAPD,Tactical
